institution,ukprn,region,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,region_code,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
University College London,10007784,London,1,Clinical Medicine,20951,"
    Targeting endothelin in systemic sclerosis &#8212; improved survival in
      pulmonary arterial hypertension (PAH) in systemic sclerosis and licensing
      of the first drug specifically for digital ulcers in systemic sclerosis
    ",A,3.8079999999999994,High,0.0,31.39955074431461,12.622948033748727,16.541522545408615,15.858411967221066,0.1231,-0.4327,0.0,0.4215,0.6294,15,4,5,"['around £3,600', 'an estimated £100,000', '500,000']",£0.6 million,1006,2
Newcastle University,10007799,North East,1,Clinical Medicine,21063,"
    Use of non-invasive ventilation to improve survival and quality of life
      in patients with motor neuron disease
    ",A,3.75,High,8.0,29.193033847000578,13.1756737295909,16.553128893708863,17.300115990662384,0.285,-0.4156,0.4019,0.5859,0.769,17,1,10,[],,1192,2
Newcastle University,10007799,North East,1,Clinical Medicine,21067,"
    Increased range and adoption of evidence-based treatments for refractory
      moderate-to-severe atopic eczema
    ",A,3.75,High,8.0,28.473453663155453,13.191527313460595,16.66269708281579,17.123865754394245,0.1365,-0.3303,0.0,0.4386,0.6585,16,4,4,[],,1211,2
Newcastle University,10007799,North East,1,Clinical Medicine,21084,"
    pGALS: a novel and simple approach for musculoskeletal examination of
      children
    ",A,3.75,High,8.0,26.853613126873825,13.253602725538295,17.339376936956576,17.789909066232354,0.148,0.0,0.0,0.2441,0.5784,24,10,10,[],,1228,2
Newcastle University,10007799,North East,1,Clinical Medicine,21692,"
    Towards prevention of mitochondrial diseases: changing government policy
      and influencing public debate.
    ",A,3.75,High,8.0,28.396883027631674,12.075761348879094,17.271124417154166,17.76292851234787,0.1919,0.0,0.0258,0.3612,0.6249,23,2,2,[],,1085,2
Newcastle University,10007799,North East,1,Clinical Medicine,21693,"
    Improving the quality and length of the lives of Duchenne muscular
      dystrophy
      patients through the application of multidisciplinary care
    ",A,3.75,High,8.0,31.17102080503767,12.21309022101494,16.385398648044777,16.968217230769227,0.2585,-0.0546,0.0,0.6483,0.8274,27,10,18,[],,1250,4
Newcastle University,10007799,North East,1,Clinical Medicine,21694,"
    Uncovering the genetic basis of atypical haemolytic uraemic syndrome
      leads to improved treatment.
    ",A,3.75,High,8.0,34.189685673133994,12.558655395520914,16.14261713058803,16.947260018639334,0.1475,-0.1531,0.0,0.4588,0.6369,18,5,5,"['327,600', '163,800']",£0.49 million,957,2
Newcastle University,10007799,North East,1,Clinical Medicine,21696,"
    The development of a novel class of anticancer drugs, PARP inhibitors,
      has attracted multi-million dollar investments in clinical trials by nine
      pharmaceutical companies
    ",A,3.75,High,8.0,28.06774442538594,13.57779132837812,17.33285097705468,18.131407379231646,-0.1993,-0.8266,-0.273,0.1998,0.4469,12,0,9,"['around $385 million', '33 Phase II', '21,883', '73,303', '65,900', '50 3,173 $69.4 million', '$231.6 million', '$85.6 million']",£702.36 million,956,8
Newcastle University,10007799,North East,1,Clinical Medicine,21697,"
    Reducing the toxicity of pemetrexed treatment in malignant pleural
      mesothelioma.
    ",A,3.75,High,8.0,34.048251380231534,13.116544495102405,14.920075455830617,15.801037234042553,0.0383,-0.7339,0.0,0.5473,0.6927,14,1,2,[],,1128,3
Newcastle University,10007799,North East,1,Clinical Medicine,21698,"
    Optimising the treatment of childhood cancer through therapeutic drug
      monitoring
    ",A,3.75,High,8.0,22.403768146159678,13.401278920482682,17.648311252867884,19.803878196814857,0.2138,-0.377,0.2732,0.4588,0.6842,5,3,5,[],,1042,3
Newcastle University,10007799,North East,1,Clinical Medicine,21706,"
    Developing gene-guided dosing of warfarin to improve patient safety
    ",A,3.75,High,8.0,20.89386690647484,13.008871428571428,17.85298416824854,19.83321642429427,0.1231,-0.2755,0.0,0.3667,0.6,15,7,10,['tens of millions'],,835,2
Newcastle University,10007799,North East,1,Clinical Medicine,21709,"
    Simple, non-invasive, diagnosis of liver fibrosis severity in
      non-alcoholic fatty
      liver disease (NAFLD)
    ",A,3.75,High,8.0,35.1835783836417,12.054260694579682,16.03354023165312,14.714171784098255,0.0984,-0.34,0.0,0.3818,0.4588,12,2,2,"['535', '1,872']",£0.0 million,952,4
Newcastle University,10007799,North East,1,Clinical Medicine,21717,"
    Curing chronic granulomatous disease in children through early bone
      marrow transplant
    ",A,3.75,High,8.0,33.88770114942531,12.261637520525452,15.933567384471718,17.1494380462305,0.2198,-0.3039,0.1398,0.5878,0.7684,15,1,4,[],,1166,8
Newcastle University,10007799,North East,1,Clinical Medicine,21721,"
Identification of a chromosomal abnormality now used to stratify treatment in
children with neuroblastoma.
",A,3.75,High,8.0,25.081238903731816,13.24966298371111,17.036826585624546,18.981016402545812,0.0603,-0.6137,0.0,0.3957,0.6407,20,2,9,[],,1142,2
University College London,10007784,London,1,Clinical Medicine,21968,"
    Evaluating and introducing pneumococcal conjugate vaccines (PCV) into the
      UK infant immunisation programme
    ",A,3.8079999999999994,High,0.0,36.95985678704858,12.776054088833542,15.308715981407026,16.497806999378753,0.0931,-0.4087,0.0,0.3609,0.6431,14,5,6,['more than 10 million'],£10.0 million,878,12
University College London,10007784,London,1,Clinical Medicine,21969,"
    Delivery of new methods for safer prenatal diagnosis: non-invasive
      testing using cell free fetal DNA in maternal blood 
    ",A,3.8079999999999994,High,0.0,21.471116020524533,13.832232138784818,18.99602597827317,19.89834735479696,0.3136,-0.2536,0.371,0.6833,0.9045,21,9,14,[],,883,27
University College London,10007784,London,1,Clinical Medicine,22019,"
Gene therapy for immunodeficiency diseases
",A,3.8079999999999994,High,0.0,33.57470415148234,11.862021481335566,15.247664890283005,14.466101152368758,0.1556,-0.15,0.0,0.4215,0.4939,40,6,2,"['350,000', '£5 million']",£5.35 million,923,2
Newcastle University,10007799,North East,1,Clinical Medicine,22135,"
    Diagnostic test for the rare muscular disorder limb-girdle muscular
      dystrophy type 2A
    ",A,3.75,High,8.0,24.02601453417165,13.55436370539724,18.09700203573471,17.81368845799708,0.066,-0.4019,0.0,0.295,0.5491,10,9,16,[],,998,2
University College London,10007784,London,1,Clinical Medicine,23093,"
    Improved surgical outcomes achieved through perioperative circulatory
      optimisation guided by oesophageal Doppler
    ",A,3.8079999999999994,High,0.0,31.479372979961255,12.459941499676795,16.775130644584568,17.213670174985474,0.3291,-0.031,0.3818,0.714,0.773,26,4,11,"['33', 'over £33', 'around £1,000', 'up to £400', '101']",£0.0 million,911,2
University College London,10007784,London,1,Clinical Medicine,23094,"
    Alternatives to medication improve quality of life for children with
      epilepsy
    ",A,3.8079999999999994,High,0.0,25.283591567291353,11.89783069846678,17.80541091248751,18.819859813084115,0.3961,0.0,0.4496,0.6678,0.7708,24,5,9,[],,1177,2
University College London,10007784,London,1,Clinical Medicine,23128,"
    Molecular genetic characterisation of the causes of familial
      hypercholesterolaemia has led to improved diagnosis, prevention and
      treatment.
    ",A,3.8079999999999994,High,0.0,32.88394932935918,12.328668902136116,16.471200829534098,16.641802302501,0.1521,0.0,0.0,0.3041,0.7187,24,3,6,[],,916,2
University College London,10007784,London,1,Clinical Medicine,23130,"
    Establishment of tacrolimus as the first choice calcineurin inhibitor for
      the immunosuppression regimen in liver transplant recipients
    ",A,3.8079999999999994,High,0.0,38.43313046010485,13.101070995923124,15.128267250517109,18.211041059988354,0.058,-0.6928,0.0,0.4215,0.5699,5,0,3,[],,404,2
University College London,10007784,London,1,Clinical Medicine,23143,"
    Elucidating the early determinants of chronic lung disease: development
      of tools to enhance measurement and interpretation of lung function
    ",A,3.8079999999999994,High,0.0,22.77145254147416,12.896550496174532,17.86218602163614,19.466490692016073,0.2447,-0.0384,0.128,0.4404,0.8304,38,2,21,['3 & 4'],£0.0 million,1233,2
University College London,10007784,London,1,Clinical Medicine,23454,"
    Inborn errors of metabolism: diagnosis and treatment
    ",A,3.8079999999999994,High,0.0,34.61414570421681,12.62360340260056,15.12621593547511,14.704682431820238,0.0703,-0.4404,0.0,0.4404,0.5267,14,5,5,"['37,000', '41,000']",£0.08 million,849,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23856,"
    B: Avoiding ineffective statin use in aortic stenosis
    ",A,3.7270000000000003,High,10.0,26.305922897196297,13.379391855807745,15.579741850924794,15.071814419225632,0.0339,-0.3601,0.0,0.3182,0.4215,10,3,6,['up to £169M'],£0.0 million,535,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23857,"
    J: Elective delivery of pregnant women reduces perinatal mortality,
        particularly in mothers over 40 years of age
    ",A,3.7270000000000003,High,10.0,43.826509433962315,12.408190305790502,13.895352205467052,12.189286966686147,0.1419,-0.5523,0.2389,0.3766,0.5475,17,5,6,[],,531,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23858,"
    M: Defining patient needs and delivering evidence-based palliative and
        end-of-life care for non-malignant disease, through services that can be
        delivered in developed and low-income countries
    ",A,3.7270000000000003,High,10.0,22.566782578757113,12.573766999483562,16.771327932891786,16.827663381297434,0.4377,-0.2304,0.5654,0.8056,0.8862,21,3,19,['1.5'],£0.0 million,787,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23859,"
    P: Testicular Dysgenesis Syndrome is linked to endocrine-disrupting
        phthalate exposure; specific phthalates are now banned from children's
        mouth toys
    ",A,3.7270000000000003,High,10.0,19.305294117647094,13.955343364550517,18.863756894454575,19.672084014102673,-0.0747,-0.5453,0.0,0.1495,0.4891,34,4,14,[],,802,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23860,"
    K: Progesterone does not prevent preterm birth in twin pregnancy
        (STOPPIT study)
    ",A,3.7270000000000003,High,10.0,37.295000000000044,11.78896075036075,14.417755367225983,14.016279237135663,-0.0909,-0.6308,0.0,0.1582,0.3709,4,2,6,"['25M.', '2,334', '25']",£0.0 million,397,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23861,"
    R: Community-directed delivery of doxycycline in Cameroon demonstrates
        effectiveness as a treatment for onchocerciasis (river blindness) in
        Africa that avoids adverse effects associated with ivermectin
    ",A,3.7270000000000003,High,10.0,25.798552590101963,12.231017263843649,16.066966067752315,15.927769780392978,0.1546,-0.4795,0.2023,0.4767,0.705,12,2,6,[],,614,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23862,"
    H: Ovarian cryopreservation can restore fertility in women following
        cancer treatment that would otherwise irreversibly deny them children
    ",A,3.7270000000000003,High,10.0,23.57414594686651,12.626175476839236,16.827784334635936,16.999660326086953,0.0837,-0.6597,0.0,0.3426,0.6551,16,3,15,[],,736,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23863,"
    U: Invention, licensing and commercialisation of optical projection
        tomography microscopy
    ",A,3.7270000000000003,High,10.0,25.030117462614555,13.622267370959962,17.19993927845102,16.801515587529977,0.1161,0.0,0.0,0.25,0.5313,15,5,13,"['Over £2M', '775,129', '523,736', '194,977', '773,054', '190,000']",£2.46 million,695,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23864,"
    G: Diagnosis from gene discovery - developmental disorders of eye,
        brain, nerve and skeleton
    ",A,3.7270000000000003,High,10.0,17.240377358490576,13.568453519017671,18.320525048361986,18.482440662785486,0.1009,-0.4266,0.0,0.4308,0.4939,14,4,12,[],,957,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23865,"
    D: Preventing deaths from pesticide self-poisoning in rural Asia &#8212;
        pralidoxime
        is hazardous and banning organophosphorus insecticides is beneficial
    ",A,3.7270000000000003,High,10.0,34.066826923076945,13.223828571428571,15.903189008614273,17.23453296703297,-0.0892,-0.6719,0.0,0.3123,0.4309,2,1,3,[],,364,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23866,"
    N: Detailed epidemiological studies of people with allergy have
        triggered policy developments and catalysed service innovations to
        enhance care
    ",A,3.7270000000000003,High,10.0,21.18213455015345,12.941247633661767,17.150826251541595,17.847588434824743,0.2332,0.0,0.2263,0.4939,0.6901,36,5,8,[],,906,4
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23867,"
    F: By defining the minimum liver remnant required, volumetric analysis
        is now the pre-operative standard of care in liver cancer surgery
        worldwide
    ",A,3.7270000000000003,High,10.0,20.895854178207713,12.83656393659181,17.04697720187427,17.96328376017386,0.2172,-0.1326,0.2369,0.4939,0.6894,10,2,12,['2.2B'],£0.0 million,757,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23868,"
    L: Pharmacological and interventional therapies for acute coronary
        syndromes improve patient outcome
    ",A,3.7270000000000003,High,10.0,28.28380622837372,13.303523529411764,14.762724277220293,15.216310344827583,0.1223,-0.5994,0.0,0.323,0.7097,12,3,10,['6.5B'],£0.0 million,580,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23869,"
    A: The GRACE risk score: a reference standard for the management of
        acute coronary syndrome
    ",A,3.7270000000000003,High,10.0,31.295186141701635,13.568630513595167,15.441574241007931,16.404624792905175,0.3349,-0.5297,0.4577,0.6912,0.8529,22,1,7,[],,662,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23870,"
    V: Dolly the sheep - the first cloned mammal and a public icon for
        regenerative medicine
    ",A,3.7270000000000003,High,10.0,22.159433800889502,12.269336651841716,17.67865446517642,17.40455030660913,0.3714,0.0,0.4767,0.6697,0.7677,19,4,11,['600'],£0.0 million,952,5
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23871,"
    Q: Accurate epidemiological pneumonia incidence and mortality
        estimates have influenced child health policy to reduce global child
        pneumonia mortality
    ",A,3.7270000000000003,High,10.0,34.428529876123406,12.770001578819528,15.622405511700883,14.967327536231885,0.1511,-0.2949,0.0,0.4068,0.6541,25,4,4,['2.01M'],£0.0 million,900,4
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23872,"
    T: Commercialisation of ScreenTape&#8482; &#8212; a microfluidic tool for
        genomics, next-generation sequencing and proteomic analysis
    ",A,3.7270000000000003,High,10.0,24.555498271303662,13.354571161277201,15.825534252469183,16.40558826520236,0.2354,0.0,0.1027,0.4019,0.7005,9,3,7,"['6', '£0.56M', '£0.34M', '£1.34M', '£3.6M', '£2.4M', '6.9B']",£0.0 million,596,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23873,"
    E: Uterine artery embolisation is superior to surgery in the short
        term,
        for the treatment of symptomatic uterine fibroids
    ",A,3.7270000000000003,High,10.0,35.434598759631655,12.419499887239242,14.038888211671637,13.756121969554592,0.3226,0.0,0.36,0.5585,0.7232,16,2,6,[],,626,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23874,"
    O: Making technological advancement safer by defining the specific
        attributes of carbon nanofibres that are detrimental to human health
    ",A,3.7270000000000003,High,10.0,20.070124223602505,13.236228571428573,18.127487663345683,17.722965838509317,0.2297,0.0,0.114,0.4215,0.701,33,1,7,[],,644,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23875,"
    C: Detailed analysis of trial of lapatinib in combination with
        capecitabine
        in advanced, HER2+ breast cancer leads to marketing authorisation
        worldwide
    ",A,3.7270000000000003,High,10.0,24.4632697493916,13.183897329474446,17.423379305707062,19.575182687270825,-0.0389,-0.8722,0.0,0.4989,0.7066,17,4,12,"['650', '£227M', '239', '50']",£0.0 million,664,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23876,"
    S: Progesterone receptor modulators are effective in emergency
        contraception and therapy of heavy menstrual bleeding/fibroids
    ",A,3.7270000000000003,High,10.0,23.608893188854495,13.452760624824093,17.305340296614908,17.855854631241925,0.1689,-0.3601,0.0516,0.4215,0.5292,33,8,6,"['$116.3M', '4.1', '1.55']",£0.0 million,937,2
University of Edinburgh,10007790,Scotland,1,Clinical Medicine,23877,"
    I: Reducing blood transfusions in intensive care and surgery saves
        precious blood, reduces costs and decreases patient risk
    ",A,3.7270000000000003,High,10.0,29.29946904612666,13.62350912208252,16.006346180344195,16.124968843331736,0.2914,0.0,0.2263,0.5921,0.7783,12,1,4,"['approximately £100M', 'approximately £6.5M/year', 'approximately £100', 'approximately £5M']",£0.0 million,733,2
University College London,10007784,London,1,Clinical Medicine,26451,"
    Fundus autofluorescence imaging transforms understanding of retinal
      disease
    ",A,3.8079999999999994,High,0.0,23.419219980787716,12.732001709894334,17.480618293662634,16.603886225631193,0.173,-0.25,0.0,0.4449,0.6599,23,1,3,"['about $200,000', '2bn']",£0.2 million,1043,2
